name,equipment_type,brand,model,serial_number,inventory_code,entry_date,location,floor
Nebulizer,Nebulizer,Siemens,A-206,SN-2023-0213-258,INV-0213,2023-05-26,Biomedical Storage,Basement
Surgical Light,Surgical Light,Drger,MX-458,SN-2025-0214-217,INV-0214,2025-02-18,Pediatrics,Floor 2
Sterilizer,Sterilizer,Nihon Kohden,V-926,SN-2021-0215-723,INV-0215,2021-04-22,Clinical Laboratory,Floor 2
Sterilizer,Sterilizer,Mindray,V-379,SN-2024-0216-459,INV-0216,2024-10-27,Operating Rooms,Floor 1
Vital Signs Monitor,Vital Signs Monitor,GE Healthcare,V-679,SN-2021-0217-245,INV-0217,2021-10-17,Clinical Laboratory,Floor 2
Vital Signs Monitor,Vital Signs Monitor,Philips,EC-643,SN-2025-0218-529,INV-0218,2025-03-25,Inpatient Ward,Floor 2
Medical Scale,Medical Scale,Medtronic,V-478,SN-2024-0219-895,INV-0219,2024-08-25,Operating Rooms,Floor 1
Microscope,Microscope,Nihon Kohden,MX-153,SN-2022-0220-872,INV-0220,2022-10-11,Neonatal ICU,Floor 3
Nebulizer,Nebulizer,Mindray,EC-183,SN-2025-0221-777,INV-0221,2025-12-24,Operating Rooms,Floor 1
Pulse Oximeter,Pulse Oximeter,Fresenius,PM-552,SN-2024-0222-320,INV-0222,2024-01-28,Clinical Laboratory,Floor 2
Centrifuge,Centrifuge,Philips,A-540,SN-2024-0223-794,INV-0223,2024-03-10,Adult ICU,Floor 3
Microscope,Microscope,Fresenius,PM-783,SN-2021-0224-325,INV-0224,2021-07-10,Operating Rooms,Floor 1
Neonatal Incubator,Neonatal Incubator,Nihon Kohden,MX-107,SN-2024-0225-316,INV-0225,2024-05-23,Inpatient Ward,Floor 2
Infusion Pump,Infusion Pump,Siemens,A-435,SN-2021-0226-609,INV-0226,2021-02-05,Adult ICU,Floor 3
Pulse Oximeter,Pulse Oximeter,GE Healthcare,V-489,SN-2023-0227-612,INV-0227,2023-08-05,Pediatrics,Floor 2
Hematology Analyzer,Hematology Analyzer,Medtronic,MX-506,SN-2025-0228-119,INV-0228,2025-11-26,Emergency Department,Floor 1
Medical Scale,Medical Scale,Philips,A-689,SN-2025-0229-826,INV-0229,2025-07-19,Clinical Laboratory,Floor 2
Pulse Oximeter,Pulse Oximeter,Siemens,MX-514,SN-2024-0230-275,INV-0230,2024-08-27,Emergency Department,Floor 1
Nebulizer,Nebulizer,Fresenius,EC-470,SN-2025-0231-964,INV-0231,2025-11-28,Adult ICU,Floor 3
Mechanical Ventilator,Mechanical Ventilator,Drger,L-703,SN-2021-0232-505,INV-0232,2021-11-23,Clinical Laboratory,Floor 2
Autoclave,Autoclave,Medtronic,V-441,SN-2021-0233-622,INV-0233,2021-11-13,Neonatal ICU,Floor 3
Mechanical Ventilator,Mechanical Ventilator,Welch Allyn,PM-298,SN-2024-0234-844,INV-0234,2024-12-13,Outpatient Clinic,Floor 1
Infusion Pump,Infusion Pump,Drger,MX-249,SN-2023-0235-277,INV-0235,2023-03-24,Operating Rooms,Floor 1
Nebulizer,Nebulizer,GE Healthcare,EC-177,SN-2026-0236-575,INV-0236,2026-07-21,Neonatal ICU,Floor 3
Microscope,Microscope,Nihon Kohden,L-797,SN-2024-0237-984,INV-0237,2024-08-20,Biomedical Storage,Basement
Surgical Aspirator,Surgical Aspirator,GE Healthcare,L-169,SN-2025-0238-746,INV-0238,2025-12-21,Medical Imaging,Floor 1
Autoclave,Autoclave,Siemens,PM-157,SN-2021-0239-417,INV-0239,2021-11-04,Outpatient Clinic,Floor 1
Medical Scale,Medical Scale,Fresenius,MX-158,SN-2024-0240-178,INV-0240,2024-03-25,Outpatient Clinic,Floor 1
Electrocardiograph,Electrocardiograph,Nihon Kohden,PM-619,SN-2026-0241-694,INV-0241,2026-03-15,Clinical Laboratory,Floor 2
Hematology Analyzer,Hematology Analyzer,Mindray,L-929,SN-2023-0242-429,INV-0242,2023-02-15,Biomedical Storage,Basement
Nebulizer,Nebulizer,Fresenius,PM-254,SN-2026-0243-205,INV-0243,2026-01-24,Emergency Department,Floor 1
Surgical Aspirator,Surgical Aspirator,Philips,PM-761,SN-2021-0244-353,INV-0244,2021-06-14,Neonatal ICU,Floor 3
Medical Scale,Medical Scale,Fresenius,PM-635,SN-2022-0245-472,INV-0245,2022-10-17,Biomedical Storage,Basement
Anesthesia Machine,Anesthesia Machine,Siemens,L-518,SN-2021-0246-908,INV-0246,2021-08-07,Outpatient Clinic,Floor 1
Surgical Aspirator,Surgical Aspirator,Philips,A-196,SN-2025-0247-390,INV-0247,2025-05-07,Pediatrics,Floor 2
Sterilizer,Sterilizer,Nihon Kohden,V-441,SN-2022-0248-458,INV-0248,2022-08-07,Adult ICU,Floor 3
Autoclave,Autoclave,B. Braun,V-709,SN-2024-0249-672,INV-0249,2024-06-26,Adult ICU,Floor 3
Neonatal Incubator,Neonatal Incubator,Medtronic,V-786,SN-2022-0250-761,INV-0250,2022-01-22,Pediatrics,Floor 2
Pulse Oximeter,Pulse Oximeter,Welch Allyn,A-118,SN-2024-0251-284,INV-0251,2024-06-23,Outpatient Clinic,Floor 1
Ultrasound Machine,Ultrasound Machine,Medtronic,L-296,SN-2022-0252-258,INV-0252,2022-07-22,Inpatient Ward,Floor 2
Electrocardiograph,Electrocardiograph,Siemens,MX-619,SN-2021-0253-777,INV-0253,2021-06-08,Pediatrics,Floor 2
Surgical Aspirator,Surgical Aspirator,Nihon Kohden,V-711,SN-2022-0254-266,INV-0254,2022-09-28,Clinical Laboratory,Floor 2
Hospital Bed,Hospital Bed,Nihon Kohden,V-838,SN-2021-0255-520,INV-0255,2021-07-02,Medical Imaging,Floor 1
Anesthesia Machine,Anesthesia Machine,Drger,L-725,SN-2026-0256-339,INV-0256,2026-01-17,Operating Rooms,Floor 1
Hematology Analyzer,Hematology Analyzer,Drger,A-928,SN-2023-0257-476,INV-0257,2023-03-10,Medical Imaging,Floor 1
Microscope,Microscope,Fresenius,L-887,SN-2025-0258-614,INV-0258,2025-04-18,Operating Rooms,Floor 1
Centrifuge,Centrifuge,B. Braun,V-936,SN-2022-0259-993,INV-0259,2022-07-25,Inpatient Ward,Floor 2
Sterilizer,Sterilizer,Mindray,EC-592,SN-2022-0260-828,INV-0260,2022-03-01,Outpatient Clinic,Floor 1
Centrifuge,Centrifuge,Philips,A-185,SN-2024-0261-560,INV-0261,2024-01-27,Neonatal ICU,Floor 3
Centrifuge,Centrifuge,GE Healthcare,L-193,SN-2026-0262-457,INV-0262,2026-01-26,Inpatient Ward,Floor 2
Vital Signs Monitor,Vital Signs Monitor,B. Braun,MX-505,SN-2025-0263-341,INV-0263,2025-03-16,Pediatrics,Floor 2
Neonatal Incubator,Neonatal Incubator,Philips,A-329,SN-2024-0264-201,INV-0264,2024-08-02,Emergency Department,Floor 1
Surgical Aspirator,Surgical Aspirator,GE Healthcare,V-139,SN-2026-0265-812,INV-0265,2026-04-24,Operating Rooms,Floor 1
Infusion Pump,Infusion Pump,Fresenius,L-730,SN-2021-0266-119,INV-0266,2021-11-25,Emergency Department,Floor 1
Sterilizer,Sterilizer,Drger,V-661,SN-2025-0267-213,INV-0267,2025-10-04,Biomedical Storage,Basement
Autoclave,Autoclave,Drger,A-224,SN-2023-0268-529,INV-0268,2023-09-08,Emergency Department,Floor 1
Nebulizer,Nebulizer,Fresenius,MX-213,SN-2021-0269-747,INV-0269,2021-03-13,Medical Imaging,Floor 1
Centrifuge,Centrifuge,Nihon Kohden,V-835,SN-2024-0270-539,INV-0270,2024-04-12,Neonatal ICU,Floor 3
Vital Signs Monitor,Vital Signs Monitor,Nihon Kohden,A-346,SN-2025-0271-291,INV-0271,2025-09-07,Biomedical Storage,Basement
Electrocardiograph,Electrocardiograph,Welch Allyn,A-169,SN-2021-0272-499,INV-0272,2021-03-29,Pediatrics,Floor 2
Surgical Light,Surgical Light,Mindray,EC-496,SN-2023-0273-865,INV-0273,2023-11-09,Outpatient Clinic,Floor 1
Vital Signs Monitor,Vital Signs Monitor,Medtronic,MX-453,SN-2022-0274-890,INV-0274,2022-03-05,Inpatient Ward,Floor 2
Microscope,Microscope,Medtronic,V-145,SN-2024-0275-933,INV-0275,2024-10-22,Outpatient Clinic,Floor 1
Hospital Bed,Hospital Bed,Fresenius,EC-590,SN-2022-0276-164,INV-0276,2022-07-11,Neonatal ICU,Floor 3
Medical Scale,Medical Scale,Mindray,A-306,SN-2023-0277-142,INV-0277,2023-04-02,Emergency Department,Floor 1
Surgical Aspirator,Surgical Aspirator,Siemens,PM-507,SN-2026-0278-359,INV-0278,2026-04-28,Pediatrics,Floor 2
Defibrillator,Defibrillator,Drger,A-465,SN-2024-0279-379,INV-0279,2024-09-25,Emergency Department,Floor 1
Mechanical Ventilator,Mechanical Ventilator,Medtronic,L-509,SN-2025-0280-447,INV-0280,2025-05-07,Medical Imaging,Floor 1
Hospital Bed,Hospital Bed,Fresenius,EC-609,SN-2024-0281-920,INV-0281,2024-01-02,Outpatient Clinic,Floor 1
Electrocardiograph,Electrocardiograph,B. Braun,MX-540,SN-2023-0282-658,INV-0282,2023-01-14,Biomedical Storage,Basement
Autoclave,Autoclave,Medtronic,MX-181,SN-2024-0283-413,INV-0283,2024-04-29,Outpatient Clinic,Floor 1
Medical Scale,Medical Scale,Nihon Kohden,EC-536,SN-2025-0284-459,INV-0284,2025-12-28,Neonatal ICU,Floor 3
Medical Scale,Medical Scale,Mindray,EC-990,SN-2025-0285-381,INV-0285,2025-11-21,Outpatient Clinic,Floor 1
Defibrillator,Defibrillator,Philips,EC-752,SN-2025-0286-625,INV-0286,2025-02-01,Clinical Laboratory,Floor 2
Hospital Bed,Hospital Bed,Mindray,V-969,SN-2025-0287-135,INV-0287,2025-12-04,Biomedical Storage,Basement
Infusion Pump,Infusion Pump,Philips,V-897,SN-2025-0288-492,INV-0288,2025-01-27,Outpatient Clinic,Floor 1
Microscope,Microscope,Mindray,PM-257,SN-2025-0289-480,INV-0289,2025-03-04,Medical Imaging,Floor 1
Medical Scale,Medical Scale,Philips,PM-240,SN-2025-0290-507,INV-0290,2025-02-16,Pediatrics,Floor 2
Surgical Aspirator,Surgical Aspirator,Siemens,V-216,SN-2023-0291-611,INV-0291,2023-02-06,Emergency Department,Floor 1
Centrifuge,Centrifuge,B. Braun,PM-220,SN-2023-0292-820,INV-0292,2023-12-07,Operating Rooms,Floor 1
Medical Scale,Medical Scale,Drger,PM-392,SN-2023-0293-225,INV-0293,2023-04-04,Medical Imaging,Floor 1
Infusion Pump,Infusion Pump,Philips,L-276,SN-2021-0294-929,INV-0294,2021-12-30,Medical Imaging,Floor 1
Surgical Aspirator,Surgical Aspirator,Medtronic,EC-166,SN-2024-0295-407,INV-0295,2024-04-08,Pediatrics,Floor 2
Hospital Bed,Hospital Bed,GE Healthcare,A-620,SN-2022-0296-305,INV-0296,2022-05-17,Inpatient Ward,Floor 2
Infusion Pump,Infusion Pump,Drger,L-126,SN-2025-0297-578,INV-0297,2025-02-24,Outpatient Clinic,Floor 1
Hematology Analyzer,Hematology Analyzer,GE Healthcare,PM-188,SN-2024-0298-507,INV-0298,2024-06-24,Adult ICU,Floor 3
Surgical Light,Surgical Light,Welch Allyn,L-887,SN-2021-0299-228,INV-0299,2021-11-03,Clinical Laboratory,Floor 2
Surgical Aspirator,Surgical Aspirator,Philips,L-577,SN-2024-0300-231,INV-0300,2024-11-16,Pediatrics,Floor 2
